name,salt_composition,manufacturer,category,mrp,selling_price,purchase_price,stock_quantity,batch_number,expiry_date,reorder_threshold
Dolo 650,Paracetamol,Micro Labs,Analgesic,43.52,43.52,43.52,160,USER-SIDE-SYNC,2028-08-06,10
Crocin Advance,Paracetamol,GSK,Analgesic,61.2,61.2,61.2,161,USER-SIDE-SYNC,2028-08-06,10
Calpol,Paracetamol,GSK,Analgesic,38.08,38.08,38.08,160,USER-SIDE-SYNC,2028-08-06,10
Paracetamol IP,Paracetamol,Generic Pharma Co,Analgesic,16.32,16.32,16.32,160,USER-SIDE-SYNC,2028-08-06,10
Brufen,Ibuprofen,Abbott,NSAID,54.4,54.4,54.4,161,USER-SIDE-SYNC,2028-08-06,10
Ibugesic,Ibuprofen,Cipla,NSAID,47.25,47.25,47.25,165,USER-SIDE-SYNC,2028-08-06,10
Ibuprofen IP,Ibuprofen,Generic Pharma Co,NSAID,20.09,20.09,20.09,168,USER-SIDE-SYNC,2028-08-06,10
Voveran,Diclofenac,Novartis,NSAID,50.45,50.45,50.45,171,USER-SIDE-SYNC,2028-08-06,10
Diclofenac IP,Diclofenac,Generic Pharma Co,NSAID,18.42,18.42,18.42,174,USER-SIDE-SYNC,2028-08-06,10
Ecosprin,Aspirin,USV,NSAID,23.66,23.66,23.66,180,USER-SIDE-SYNC,2028-08-06,10
Aspirin IP,Aspirin,Generic Pharma Co,NSAID,10.49,10.49,10.49,185,USER-SIDE-SYNC,2028-08-06,10
Cetzine,Cetirizine,Dr. Reddy's,Antihistamine,26.16,26.16,26.16,190,USER-SIDE-SYNC,2028-08-06,10
Alerid,Cetirizine,Cipla,Antihistamine,28.81,28.81,28.81,197,USER-SIDE-SYNC,2028-08-06,10
Cetirizine IP,Cetirizine,Generic Pharma Co,Antihistamine,10.48,10.48,10.48,204,USER-SIDE-SYNC,2028-08-06,10
Xyzal,Levocetirizine,Sanofi,Antihistamine,124.36,124.36,124.36,210,USER-SIDE-SYNC,2028-08-06,10
Levocet,Levocetirizine,Dr. Reddy's,Antihistamine,59.07,59.07,59.07,211,USER-SIDE-SYNC,2028-08-06,10
Levocetirizine IP,Levocetirizine,Generic Pharma Co,Antihistamine,23.89,23.89,23.89,217,USER-SIDE-SYNC,2028-08-06,10
Pantop,Pantoprazole,Aristo,Antacid/PPI,120.76,120.76,120.76,223,USER-SIDE-SYNC,2028-08-06,10
Pantocid,Pantoprazole,Sun Pharma,Antacid/PPI,115.29,115.29,115.29,229,USER-SIDE-SYNC,2028-08-06,10
Pantoprazole IP,Pantoprazole,Generic Pharma Co,Antacid/PPI,27.18,27.18,27.18,237,USER-SIDE-SYNC,2028-08-06,10
Omez,Omeprazole,Dr. Reddy's,Antacid/PPI,88.4,88.4,88.4,245,USER-SIDE-SYNC,2028-08-06,10
Omeprazole IP,Omeprazole,Generic Pharma Co,Antacid/PPI,20.4,20.4,20.4,252,USER-SIDE-SYNC,2028-08-06,10
Razo,Rabeprazole,Dr. Reddy's,Antacid/PPI,149.6,149.6,149.6,252,USER-SIDE-SYNC,2028-08-06,10
Rabeprazole IP,Rabeprazole,Generic Pharma Co,Antacid/PPI,34.0,34.0,34.0,252,USER-SIDE-SYNC,2028-08-06,10
Mox,Amoxicillin,Sun Pharma,Antibiotic,88.4,88.4,88.4,252,USER-SIDE-SYNC,2028-08-06,10
Amoxicillin IP,Amoxicillin,Generic Pharma Co,Antibiotic,38.08,38.08,38.08,252,USER-SIDE-SYNC,2028-08-06,10
Augmentin 625,Amoxicillin-Clavulanate,GSK,Antibiotic,285.6,285.6,285.6,252,USER-SIDE-SYNC,2028-08-06,10
Amoxyclav 625,Amoxicillin-Clavulanate,Cipla,Antibiotic,204.34,204.34,204.34,246,USER-SIDE-SYNC,2028-08-06,10
